post_id,description,color,category,style,occasion,keywords
240,a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a t-shirt with a,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
241,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
242,a pair of jeans with a t-shirt and a pair of boots,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing, winter"
243,a hat is a fashion accessory that can be worn by a woman or a man,,hat,casual,casual outing,"hat, casual, casual-outing"
244,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
245,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
246,a white dress with a slit,white,dress,elegant,party,"white, dress, elegant, party"
247,a pair of shorts is a pair of shorts that are worn by a person,,"shorts, hat",casual,casual outing,"shorts, hat, casual, casual-outing, summer"
248,a black blazer jacket is a jacket that is a black jacket with a black blazer,black,"jacket, blazer, hat",business,work,"black, jacket, blazer, hat, business, work"
249,a white shirt with a white collar and a white collar is a white shirt with a white collar and white collar,white,shirt,casual,casual outing,"white, shirt, casual, casual-outing"
250,a pair of jeans with a white shirt and white sneakers,white,"sneakers, shirt, jeans",streetwear,casual outing,"white, sneakers, shirt, jeans, streetwear, casual-outing"
251,a pair of jeans with a tee shirt and a pair of jeans with a tee shirt and a pair of jeans with a tee shirt,,"shirt, jeans, t-shirt",casual,casual outing,"shirt, jeans, t-shirt, casual, casual-outing"
252,a dress is a garment worn by a woman for a formal occasion,,dress,formal,party,"dress, formal, party"
253,"a leather jacket is a jacket that is made of leather, leather, or another material",,"jacket, hat",edgy,casual outing,"jacket, hat, edgy, casual-outing, autumn, leather"
254,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
255,a blazer jacket is a jacket that is worn over a shirt or blouse,,"blouse, jacket, blazer",business,work,"blouse, jacket, blazer, business, work"
256,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
257,a red sweater with a red sweater and red jeans,red,"sweater, jeans",casual,casual outing,"red, sweater, jeans, casual, casual-outing, winter"
258,"a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of shoes, a pair of",,shoes,casual,casual outing,"shoes, casual, casual-outing"
259,a tweed jacket is a jacket that is made of a fabric that is a tweed jacket,,"jacket, hat",casual,casual outing,"jacket, hat, casual, casual-outing"
260,a polo shirt is a garment that is worn by a person to wear a particular outfit,,"shirt, hat",preppy,casual outing,"shirt, hat, preppy, casual-outing"
261,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
262,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
263,a blazer jacket is a jacket that is worn over a shirt or blouse,,"blouse, jacket, blazer",business,work,"blouse, jacket, blazer, business, work"
264,a jacket is a jacket that is worn over a shirt or top,,"jacket, shirt, top",casual,casual outing,"jacket, shirt, top, casual, casual-outing"
265,a hat is a fashion accessory that can be worn by a person or a group of people,,hat,casual,casual outing,"hat, casual, casual-outing"
266,a pair of sandals with a tan leather strap and a gold buckle,"beige, yellow",sandals,edgy,casual outing,"beige, yellow, sandals, edgy, casual-outing, summer"
267,a fashion item is a piece of clothing or accessories that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
268,a pair of tan trousers with a black top and a black jacket,"black, beige","pants, jacket, top",business,work,"black, beige, pants, jacket, top, business"
269,a t-shirt is a garment that is worn by a person to describe their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
270,a white dress with a slit in the back,white,dress,elegant,party,"white, dress, elegant, party"
271,a pair of pyjamas,,,casual,casual outing,"casual, casual-outing, pair, pyjamas"
272,a t-shirt is a garment that is worn by a person to wear a particular outfit,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
273,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
274,a bag is a bag that is used to carry a purse or other item,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
275,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
276,a pair of earrings with a flower,,jewelry,casual,casual outing,"jewelry, casual, casual-outing"
277,a white tee shirt with a white polo shirt and white pants,white,"shirt, pants, t-shirt",casual,casual outing,"white, shirt, pants, t-shirt, casual, casual-outing"
278,a trench coat is a long coat that has a long sleeve and a long sleeve,,"trench coat, coat, hat",casual,casual outing,"trench coat, coat, hat, casual, casual-outing, winter"
279,a black coat coat with a white hat and a white hat,"white, black","coat, hat",casual,casual outing,"white, black, coat, hat, casual, casual-outing"
280,a dress is a piece of clothing worn by a woman,,dress,elegant,party,"dress, elegant, party"
281,a black jumpsuit with a slit in the front,black,jumpsuit,formal,casual outing,"black, jumpsuit, formal, casual-outing"
282,a blue striped dress,blue,dress,elegant,party,"blue, dress, elegant, party, striped"
283,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
284,a white dress with a striped top and a striped skirt,white,"dress, skirt, top",elegant,party,"white, dress, skirt, top, elegant, party"
285,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
286,a polka dot top,,top,vintage,casual outing,"top, vintage, casual-outing, polka-dot, polka, dot"
287,a dress with a slit in the front,,dress,elegant,party,"dress, elegant, party"
288,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
289,a t-shirt with a t-shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
290,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
291,a white shirt with a striped skirt and a white tee,white,"shirt, skirt, t-shirt",casual,casual outing,"white, shirt, skirt, t-shirt, casual, casual-outing"
292,a black sweater with a black hood and a black hood,black,sweater,casual,casual outing,"black, sweater, casual, casual-outing, winter"
293,a striped tee shirt with a striped tee,,"shirt, t-shirt",casual,casual outing,"shirt, t-shirt, casual, casual-outing, striped"
294,a black dress with a slit,black,dress,elegant,party,"black, dress, elegant, party"
295,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
296,a black coat is a coat that is long and has a collar,black,"coat, hat",casual,casual outing,"black, coat, hat, casual, casual-outing, winter"
297,a fashion item is a piece of clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
298,a man in a red shirt and a pair of jeans,red,"shirt, jeans",casual,casual outing,"red, shirt, jeans, casual, casual-outing"
299,a pair of jeans with a tee and a tee,,"jeans, t-shirt",casual,casual outing,"jeans, t-shirt, casual, casual-outing"
300,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
301,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person to express their personal style or personality",,hat,casual,casual outing,"hat, casual, casual-outing"
302,a tee shirt is a shirt that is worn by a person to represent their personality,,"shirt, t-shirt, hat",casual,casual outing,"shirt, t-shirt, hat, casual, casual-outing"
303,a pair of sunglasses with a pair of sunglasses and a pair of sunglasses,,sunglasses,casual,casual outing,"sunglasses, casual, casual-outing"
304,a blazer jacket is a jacket that has a collar and a collar,,"jacket, blazer, hat",business,work,"jacket, blazer, hat, business, work"
305,a tweed jacket with a sleeveless collar and a sleeveless collar,,jacket,casual,casual outing,"jacket, casual, casual-outing, summer"
306,a t-shirt is a garment that is worn by a person to show their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
307,a tweed jacket with a tweed jacket and a tweed jacket,,jacket,casual,casual outing,"jacket, casual, casual-outing"
308,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
309,a bikini is a swimsuit that is worn by women,,hat,formal,beach,"hat, formal, beach"
310,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
311,a black leather jacket with a lace-up front and a slit in the back,black,jacket,elegant,casual outing,"black, jacket, elegant, casual-outing, autumn, leather"
312,a pair of shoes is a fashion item that is worn by many people,,"shoes, hat",casual,casual outing,"shoes, hat, casual, casual-outing"
313,a hat is a piece of clothing worn by a person to protect their head from the sun,,hat,casual,casual outing,"hat, casual, casual-outing"
314,a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of jeans jeans a pair of,,jeans,casual,casual outing,"jeans, casual, casual-outing"
315,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
316,a shirt with a collar and a collar is a shirt,,shirt,casual,casual outing,"shirt, casual, casual-outing"
317,a sweater is a piece of clothing that is worn by a person to wear a particular outfit,,"sweater, hat",casual,casual outing,"sweater, hat, casual, casual-outing, winter"
318,a white shirt with a black jacket and a white shirt,"white, black","jacket, shirt",casual,casual outing,"white, black, jacket, shirt, casual, casual-outing"
319,a black coat is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is,black,"coat, hat",casual,casual outing,"black, coat, hat, casual, casual-outing, winter"
320,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
321,a tee shirt is a shirt that is worn by a person to wear a shirt,,"shirt, t-shirt, hat",casual,casual outing,"shirt, t-shirt, hat, casual, casual-outing"
322,"a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the head, a hoodie is a garment that is worn over the",,"hoodie, hat",streetwear,casual outing,"hoodie, hat, streetwear, casual-outing"
323,a white shirt with a black striped shirt and a white striped shirt,"white, black",shirt,casual,casual outing,"white, black, shirt, casual, casual-outing, striped"
324,a t-shirt is a garment that is worn by a person to represent their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
325,a pair of leggings is a pair of leggings that are worn in the leggings style,,"leggings, hat",sporty,casual outing,"leggings, hat, sporty, casual-outing"
326,a dress is a garment worn by a woman to dress in a particular style,,dress,elegant,party,"dress, elegant, party"
327,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
328,a bag is a fashion accessory that can be worn by a woman to carry her purse or other items,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
329,a t-shirt with a t-shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
330,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
331,a tweed jacket is a jacket that is made of a fabric that is a tweed jacket,,"jacket, hat",casual,casual outing,"jacket, hat, casual, casual-outing"
333,a pair of ruffled ruffled pants,,pants,romantic,casual outing,"pants, romantic, casual-outing"
334,a black coat coat is a coat that is black in color,black,"coat, hat",casual,casual outing,"black, coat, hat, casual, casual-outing, winter"
335,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
336,a pair of sunglasses with a mirrored lens,,sunglasses,casual,casual outing,"sunglasses, casual, casual-outing"
337,a long sleeved dress with a sleeved top and a sleeved top,,"dress, top",elegant,party,"dress, top, elegant, party"
338,a woman in a black dress with a black bag,black,"dress, bag",elegant,party,"black, dress, bag, elegant, party"
339,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person",,"jewelry, hat",casual,casual outing,"jewelry, hat, casual, casual-outing"
340,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
341,a trench coat is a coat that is worn over a trench coat,,"trench coat, coat, hat",casual,casual outing,"trench coat, coat, hat, casual, casual-outing, winter"
342,a black t-shirt with a white polka dot print,"black, white","t-shirt, shirt",casual,casual outing,"black, white, t-shirt, shirt, casual, casual-outing"
343,a pair of shorts with a tee shirt and a pair of shorts,,"shorts, shirt, t-shirt",casual,casual outing,"shorts, shirt, t-shirt, casual, casual-outing, summer"
344,"a black coat is a coat that is black in color, but has a pattern or pattern that is black in color",black,"coat, hat",casual,casual outing,"black, coat, hat, casual, casual-outing, winter"
345,a pair of shorts is a pair of shorts that are worn by a person,,"shorts, hat",casual,casual outing,"shorts, hat, casual, casual-outing, summer"
346,a man in a shirt and jeans with a shirt and jeans,,"shirt, jeans",casual,casual outing,"shirt, jeans, casual, casual-outing"
347,a tan romper with a tan top and a tan skirt,beige,"romper, skirt, top",casual,casual outing,"beige, romper, skirt, top, casual, casual-outing"
348,a leather jacket is a jacket that is worn over a shirt or shirt,,"jacket, shirt, hat",edgy,casual outing,"jacket, shirt, hat, edgy, casual-outing, autumn"
349,a teddy bear costume is a costume that is worn by a character in a television show or movie,,hat,casual,casual outing,"hat, casual, casual-outing"
350,a pair of jeans with a tee and a sweater,,"sweater, jeans, t-shirt",casual,casual outing,"sweater, jeans, t-shirt, casual, casual-outing, winter"
351,a pink coat is a coat that is a pink coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that is a coat that,pink,"coat, hat",casual,casual outing,"pink, coat, hat, casual, casual-outing, winter"
352,a t-shirt with a t-shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
353,a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
354,a denim jacket is a jacket that is worn over a shirt or blouse,,"jacket, blouse, shirt",streetwear,casual outing,"jacket, blouse, shirt, streetwear, casual-outing, denim"
355,a white dress is a dress that is white in color,white,"dress, hat",elegant,party,"white, dress, hat, elegant, party"
356,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
357,a dress with a hat and a skirt,,"dress, skirt, hat",elegant,party,"dress, skirt, hat, elegant, party"
358,a model in a dress with a skirt and a top,,"dress, skirt, top",elegant,party,"dress, skirt, top, elegant, party"
359,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
360,a dress is a piece of clothing worn by a woman,,dress,elegant,party,"dress, elegant, party"
361,a bag,,bag,casual,casual outing,"bag, casual, casual-outing"
362,a woman wearing a striped sweater and a striped scarf,,"sweater, scarf",casual,casual outing,"sweater, scarf, casual, casual-outing, winter, striped"
363,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
364,a skirt is a garment that is worn by a woman,,"skirt, hat",casual,casual outing,"skirt, hat, casual, casual-outing"
365,a ring is a piece of jewelry worn on the finger or finger of the hand,,jewelry,casual,casual outing,"jewelry, casual, casual-outing"
366,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
367,a tan leather jacket with gold hardware,"beige, yellow",jacket,edgy,casual outing,"beige, yellow, jacket, edgy, casual-outing, autumn"
368,a dress is a piece of clothing worn by a woman,,dress,elegant,party,"dress, elegant, party"
369,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
370,a blue dress with a blue skirt,blue,"dress, skirt",elegant,party,"blue, dress, skirt, elegant, party"
371,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
372,a t-shirt is a garment that is worn by a person to wear clothing,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
373,a t-shirt is a garment that is worn by a person to represent their identity,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
374,a dress is a garment that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
375,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
376,a tweed jacket is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket that is a jacket,,"jacket, hat",casual,casual outing,"jacket, hat, casual, casual-outing"
377,a white t-shirt with a white polka dot print,white,"t-shirt, shirt",casual,casual outing,"white, t-shirt, shirt, casual, casual-outing, polka-dot"
378,a pair of jeans pants,,"pants, jeans",casual,casual outing,"pants, jeans, casual, casual-outing"
379,a black dress with a slit,black,dress,elegant,party,"black, dress, elegant, party"
380,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
381,a pair of brown leather boots with a leather belt and a leather jacket,brown,"jacket, boots, belt",edgy,casual outing,"brown, jacket, boots, belt, edgy, casual-outing"
382,a t-shirt is a garment that is worn by a person to express their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
383,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
384,a bag is a bag that is used to carry a purse or other item of clothing,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
385,a tee shirt with a tee and a pair of jeans,,"shirt, jeans, t-shirt",casual,casual outing,"shirt, jeans, t-shirt, casual, casual-outing"
386,a tee shirt in a blue color with a white tee and a black belt,"blue, white","shirt, belt, t-shirt",casual,casual outing,"blue, white, shirt, belt, t-shirt, casual"
387,a tan dress with a tan top and a tan skirt,beige,"dress, skirt, top",elegant,party,"beige, dress, skirt, top, elegant, party"
388,a bathrobe is a bathrobe that is worn by a person to bathe in a bath,,hat,casual,casual outing,"hat, casual, casual-outing"
389,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
390,a fashion item is a piece of clothing or accessories that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
391,a tuxedo is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is a tuxedo that is ,,hat,formal,casual outing,"hat, formal, casual-outing"
392,a bag is a fashion accessory that is used to carry a bag,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
393,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person",,"jewelry, hat",casual,casual outing,"jewelry, hat, casual, casual-outing"
394,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person",,hat,casual,casual outing,"hat, casual, casual-outing"
395,a white dress with a lace skirt and a sleeveless top,white,"dress, skirt, top",elegant,party,"white, dress, skirt, top, elegant, party"
396,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person",,hat,casual,casual outing,"hat, casual, casual-outing"
397,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
398,"a tuxedo is a tuxedo, a tuxedo is a tuxedo, a tuxedo is a tuxedo, a tuxedo is a tuxedo, a tuxedo is a tuxedo, a tuxedo is ",,,formal,casual outing,"formal, casual-outing, tuxedo"
399,a dress is a piece of clothing worn by a woman or a girl,,dress,elegant,party,"dress, elegant, party"
400,a striped t-shirt with a striped t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing, striped"
401,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
402,a bikini is a swimsuit that is worn by women,,hat,formal,beach,"hat, formal, beach"
403,a hat is a fashion accessory that can be worn with a variety of different styles,,hat,casual,casual outing,"hat, casual, casual-outing"
404,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
405,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
406,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person",,hat,casual,casual outing,"hat, casual, casual-outing"
407,a t-shirt with a t-shirt and a t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
408,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
409,"a fashion item is a piece of clothing, jewelry, or accessories that is worn by a person",,"jewelry, hat",casual,casual outing,"jewelry, hat, casual, casual-outing"
410,a fashion item is a piece of clothing or clothing that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
411,a red dress with a ruffle and a slit,red,dress,romantic,casual outing,"red, dress, romantic, casual-outing, ruffle"
412,a tiger print dress with a tiger print dress,,dress,elegant,party,"dress, elegant, party, print"
413,a dress with a sleeveless top and a sleeveless top,,"dress, top",elegant,party,"dress, top, elegant, party, summer"
414,a dress is a dress that is worn by a person,,"dress, hat",elegant,party,"dress, hat, elegant, party"
415,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
416,a t-shirt is a garment that is worn by a person to represent their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
417,a black dress with a slit,black,dress,elegant,party,"black, dress, elegant, party"
418,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
419,a fashion item is a garment that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
420,a t-shirt with a striped pattern,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing, striped"
421,a bikini is a piece of clothing worn by women,,,casual,beach,"casual, beach, bikini, piece, clothing, worn"
422,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
423,a white dress with a pink jacket and a white shirt,"white, pink","jacket, shirt, dress",elegant,party,"white, pink, jacket, shirt, dress, elegant"
424,a fashion item is a garment that is worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
425,a shirt with a slogan that says elton john st. eliott john st. elton john st. elton john st. elton john st. elton john st. elton john st. elton john st. elton john st. elton john ,,"shirt, hat",casual,casual outing,"shirt, hat, casual, casual-outing"
426,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
427,fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi fendi,,,casual,casual outing,"casual, casual-outing, fendi"
428,a polka dot dress with a polka dot hat and a polka dot hat,,"dress, hat",vintage,casual outing,"dress, hat, vintage, casual-outing, polka-dot, polka"
429,a pair of earrings with a dangle earring and a dangle earring,,jewelry,casual,casual outing,"jewelry, casual, casual-outing"
430,a plaid shirt is a shirt that has plaid on the front and back,,"shirt, hat",preppy,casual outing,"shirt, hat, preppy, casual-outing, plaid"
431,a woman's thigh is shown in the photo with a blue thong and a blue thong,blue,,casual,casual outing,"blue, casual, casual-outing"
432,a t-shirt with a t-shirt and a pair of jeans,,"t-shirt, shirt, jeans",casual,casual outing,"t-shirt, shirt, jeans, casual, casual-outing"
433,a t-shirt with a rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow rainbow,multicolor,"t-shirt, shirt",casual,casual outing,"multicolor, t-shirt, shirt, casual, casual-outing"
434,a t-shirt is a garment that is worn by a person,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
435,a shirt with a polka dot pattern,,shirt,vintage,casual outing,"shirt, vintage, casual-outing, polka-dot, polka, dot"
436,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
437,a coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat coat,,coat,casual,casual outing,"coat, casual, casual-outing, winter"
438,a black dress with a lace top and a slit,black,"dress, top",elegant,party,"black, dress, top, elegant, party, lace"
439,a t-shirt with a hat and a pair of glasses,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
440,a dress is a garment worn by a woman,,dress,elegant,party,"dress, elegant, party"
441,a blazer jacket is a jacket that is worn by a man,,"jacket, blazer, hat",business,work,"jacket, blazer, hat, business, work"
442,a dress is a dress that is worn by a woman,,"dress, hat",elegant,party,"dress, hat, elegant, party"
443,a sleeveless t-shirt with a sleeveless t-shirt and a sleeveless t-shirt,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing, summer"
444,a black dress with a lace top and a lace skirt,black,"dress, skirt, top",elegant,party,"black, dress, skirt, top, elegant, party"
445,a t-shirt with a t-shirt on it,,"t-shirt, shirt",casual,casual outing,"t-shirt, shirt, casual, casual-outing"
446,"a fashion item is a piece of clothing, accessory, or accessory that is worn by a person",,hat,casual,casual outing,"hat, casual, casual-outing"
447,a hat is a fashion accessory that can be worn by a person,,hat,casual,casual outing,"hat, casual, casual-outing"
448,a tee shirt is a garment that is worn by a person to express their personality,,"shirt, t-shirt, hat",casual,casual outing,"shirt, t-shirt, hat, casual, casual-outing"
449,a dress is a garment worn by women,,dress,elegant,party,"dress, elegant, party"
450,a hat is a fashion accessory that can be worn by a person or a group of people,,hat,casual,casual outing,"hat, casual, casual-outing"
451,a dress is a garment worn by women for a special occasion,,dress,elegant,party,"dress, elegant, party"
452,a t-shirt is a garment that is worn by a person to wear a particular outfit,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
453,prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses - prada sunglasses,,sunglasses,casual,casual outing,"sunglasses, casual, casual-outing"
454,a black t-shirt with a black hoodie and a black hoodie,black,"t-shirt, hoodie, shirt",streetwear,casual outing,"black, t-shirt, hoodie, shirt, streetwear, casual-outing"
455,a t-shirt is a garment that is worn by a person to represent their personality,,"t-shirt, shirt, hat",casual,casual outing,"t-shirt, shirt, hat, casual, casual-outing"
456,a bag is a bag that is used to carry a bag or other item,,"bag, hat",casual,casual outing,"bag, hat, casual, casual-outing"
457,a patterned dress with a patterned skirt and a patterned top,,"dress, skirt, top",elegant,party,"dress, skirt, top, elegant, party"
458,a white dress with a halter top and a slit in the back,white,"dress, top",elegant,party,"white, dress, top, elegant, party"
