post_id,timestamp,ownerUsername,type,caption,hashtags,likesCount,commentsCount,image
194,2023-03-03 20:58:46+00:00,stephaniebroek,Sidecar,"lucky girl syndrome, paris edition",,2031,55,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/334041436_952731919440589_6079196267567734885_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=2ARwP6wDAS0AX9Vqd6v&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDIXkD8pG5kEECTMCo8oVrbLx4XDZCTBqKIu26_LwbxCA&oe=648449CC&_nc_sid=8721cf
195,2023-04-29 17:15:28+00:00,camilacoelho,Sidecar,Flourishing w/ @loungeunderwear🌷 ad,,164197,763,https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-15/343888773_241720748375717_3938220232938469751_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=tN5ZPUfiFjcAX-Y1fZ6&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAOdk3-GZAIEwuPx5iVRMt71b1S1c7ccdPq8ch6k96VFQ&oe=64844C75&_nc_sid=8721cf
196,2023-02-19 18:57:43+00:00,stephaniebroek,Sidecar,the perfect black trouser with a side of slay @stagnistudio /ad,,1628,44,https://instagram.fbrs1-1.fna.fbcdn.net/v/t51.2885-15/332384241_586324823367222_5511901623224162156_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbrs1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=_1Zo4QCp6oUAX8NH4Pj&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDPsc46WtTdSzsJ7jMTbAd3_HHgp2_1oXk7_uUyZgdr8g&oe=64848334&_nc_sid=8721cf
197,2023-03-02 15:03:55+00:00,stephaniebroek,Sidecar,@acnestudios one word review: ethereal. black sand and crochet trees with big fabric flowers and gemstones garlands. and i wore just the right boots for jonny johansson’s black forest 🐊,,924,36,https://instagram.fmel5-1.fna.fbcdn.net/v/t51.2885-15/333176314_887619295846004_8079357230033912413_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fmel5-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=tX4lmVSshT0AX-YzaIU&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfC2HBTXL1Q4QgQulvgJV7Hdu-aKsWuHtzX_xjjGj1nKYg&oe=648473B9&_nc_sid=8721cf
198,2023-01-18 20:03:51+00:00,stephaniebroek,Sidecar,,,2687,49,https://instagram.fosu2-2.fna.fbcdn.net/v/t51.2885-15/325820468_1467198690350266_4266337065901321924_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fosu2-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=BHonSBfZPcYAX-czUNL&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDUqIyspImFjlRmZHQo0q7M2c9chn5e4tlZXkbfIsQJNQ&oe=64845860&_nc_sid=8721cf
199,2023-01-25 19:11:37+00:00,stephaniebroek,Sidecar,(belt)skirts over pants type of week,,1466,68,https://instagram.fada1-15.fna.fbcdn.net/v/t51.2885-15/327134157_3406515726256902_8399524078369453462_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fada1-15.fna.fbcdn.net&_nc_cat=106&_nc_ohc=S0ecrWQy3XQAX8sBkvt&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCHLGSAaYz-5yus9zmFg2doNVbYFN79wV4327mrT6EKGA&oe=648493DD&_nc_sid=8721cf
200,2023-02-05 19:32:39+00:00,stephaniebroek,Sidecar,"in full ann demeulemeester and the row on day 1, a the attico cargo denim skirt moment on day 2, and magda butrym 🥀 top 🥀 on the last day of cphfw, all via @luisaviaroma",,1695,70,https://instagram.flhr4-4.fna.fbcdn.net/v/t51.2885-15/329237977_901672780970290_2703280082135697545_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flhr4-4.fna.fbcdn.net&_nc_cat=110&_nc_ohc=0n9FYAWS5WkAX8AyL89&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCOm1s7NlfGvdTGNKaq5BH1YPCOyYZURd-ZPG_EWinRiQ&oe=6483ED90&_nc_sid=8721cf
201,2023-01-09 16:15:43+00:00,stephaniebroek,Sidecar,bag and coffee table slay,,1429,45,https://instagram.fist6-3.fna.fbcdn.net/v/t51.2885-15/324164087_1708003862927437_8784403935016255998_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fist6-3.fna.fbcdn.net&_nc_cat=101&_nc_ohc=X4PvmTgAfbwAX-fVUva&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfC4LwhkFZqx9k3mA8ewbBYf49PqA-ei0pUu9TVXtOyDJA&oe=64845A5E&_nc_sid=8721cf
202,2023-02-06 18:55:07+00:00,stephaniebroek,Sidecar,a week in copenhagen and this is what my camera roll looks like,,1133,38,https://scontent-waw1-1.cdninstagram.com/v/t51.2885-15/329320292_839858743749226_1001549976434351713_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-waw1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=M78NpixKgigAX9yQrAN&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD1oNfZA9L3BDzmWibeQ09Eu3Fh2Fq2RaPr0Jta-TrnPg&oe=6484AEA2&_nc_sid=8721cf
203,2023-04-22 19:30:23+00:00,camilacoelho,Sidecar,Miami nights🤎 • #ootn,ootn,107220,374,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/342714817_239499745295069_4795970418191165574_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=laEcPW1E53wAX-nPZjQ&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDQPvr3QKNThH3U0c1OAATFaRQpBEOOyB_PrllriZU4Lw&oe=64848AEF&_nc_sid=8721cf
204,2023-04-23 21:29:38+00:00,camilacoelho,Sidecar,Kai’s mom💓 (dropping my arm workout on last video lol) Se eu treino braço? Claro que sim haha  • My set is @camilacoelhocollection available at @revolve #ootd #momlife,"ootd, momlife",133411,527,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/342876216_264381366017962_938346672155791189_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=110&_nc_ohc=1Y9GMpcmsGUAX8wDYgC&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDLcsTTCcCyiO8s_LTkeSl0nWnMM5aHG-ouXsFnguo_DA&oe=64841E43&_nc_sid=8721cf
205,2023-05-10 16:56:37+00:00,matildadjerf,Sidecar,hiiiii 🍦🦋🧚‍♂️,,185861,270,https://instagram.fbga3-1.fna.fbcdn.net/v/t51.2885-15/345291632_6139974779450654_2293823477379965856_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fbga3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=grS_D5-hOfYAX_3AzhE&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD8aRA6DgDQrSRkzY9duCwndLtJhCTsOKQJuHxh5EgynA&oe=6483EFD8&_nc_sid=8721cf
206,2023-04-18 20:18:58+00:00,camilacoelho,Sidecar,Such a fun time at #revolvefestival 🎶🦋 this weekend! Until next yearrrr @revolve fam!  • #festival #festivalfashion #ootd,"revolvefestival, festival, festivalfashion, ootd",162482,565,https://scontent-gig4-1.cdninstagram.com/v/t51.2885-15/341586929_947196070054677_6654521836099298215_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-gig4-1.cdninstagram.com&_nc_cat=109&_nc_ohc=KQidPIJl2uIAX_IH7S3&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCw7QjGEYQ3F72cmhrZxI181bdxmKIzde5WqAKeCSuIAw&oe=6484C8D7&_nc_sid=8721cf
207,2023-05-05 18:33:56+00:00,matildadjerf,Sidecar,small little pockets of my day 🦋,,147298,142,https://instagram.fmem1-2.fna.fbcdn.net/v/t51.2885-15/344795616_1249935062551139_6528203873826993921_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fmem1-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=3NFaxyZKmysAX-_wt-3&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfB4pUQb-vw44EfhlxrSdMooH6YtcSA1ZdLbn_K9ZK6FXw&oe=64855F1A&_nc_sid=8721cf
208,2023-05-06 17:58:43+00:00,matildadjerf,Sidecar,🧚‍♂️,,245634,348,https://instagram.fhan14-4.fna.fbcdn.net/v/t51.2885-15/344883602_217030034400266_2752600114725433200_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fhan14-4.fna.fbcdn.net&_nc_cat=102&_nc_ohc=FYeJECwDTUQAX-5B-Hf&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD6o9c9HuTJX3qRsnratQOaxQwcK3wDx89LhCoO6WvkYg&oe=64849B22&_nc_sid=8721cf
209,2023-05-08 18:26:04+00:00,matildadjerf,Sidecar,living,,186887,170,https://instagram.ffru1-4.fna.fbcdn.net/v/t51.2885-15/345261172_1694638604309247_5277711415629095_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.ffru1-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=8CQyOnqrmPEAX_wtlAb&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCmQ1ZErnyDp58XqHN7TvGm1g4Nk9_54yJS7bcxUfa6dw&oe=6484EC7E&_nc_sid=8721cf
210,2023-05-02 18:43:53+00:00,matildadjerf,Sidecar,Highlights from the last two weeks 🩷,,155715,210,https://scontent-mad1-1.cdninstagram.com/v/t51.2885-15/344261575_201159026037769_4443354748803244625_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=txr7rAZd-PYAX-JckJt&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCkvjRvuzCdhZfElIlrKoRcBqGuR3-Y6GyT7bzAcCU4Tw&oe=6484A8B4&_nc_sid=8721cf
211,2023-05-03 19:01:05+00:00,matildadjerf,Sidecar,soooooooon 🥹🥲,,113716,126,https://instagram.fpos2-1.fna.fbcdn.net/v/t51.2885-15/344775130_673575707911632_2286426199120512757_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fpos2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=8LOKHjKw4ysAX8bcRnx&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDxcDrhyMvydGYXO-m_HSnhzxSgsNW7XWB83A_N6DwPtg&oe=64848B93&_nc_sid=8721cf
212,2023-05-20 11:23:27+00:00,josefinehj,Sidecar,spring in Copenhagen 🫶🏼🫶🏼🫶🏼,,16645,76,https://instagram.fbga3-1.fna.fbcdn.net/v/t51.2885-15/348300765_755807296089981_4977937558834570312_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbga3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=8hN0uJndw8YAX-xPGwf&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBf26mnL7lLTUPOVKSkx_unp5Aus9GUL-6utZS6OnV4gA&oe=6483D6EC&_nc_sid=8721cf
213,2023-05-07 18:59:00+00:00,matildadjerf,Sidecar,🍷🤍,,220198,228,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-15/344891150_541470878173007_5011869823891633150_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=PWc2QP5IyQ0AX82ChOl&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDz3bN_CYfRzrEwGOFqgm7pJO0PIkFF4HSdlGv9_nn-hQ&oe=6484FE78&_nc_sid=8721cf
214,2023-05-01 18:42:30+00:00,matildadjerf,Sidecar,a long weekend at home 🌈,,153650,197,https://instagram.fyei6-1.fna.fbcdn.net/v/t51.2885-15/344478196_781519523324414_216075809807816727_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fyei6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=WcEIp-4U3qAAX-IXdwq&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBLO65-w_yb92tvlvY6IXC8XwB-v51Pn7O1h7l8qZKcUg&oe=6483CD25&_nc_sid=8721cf
215,2023-05-24 21:47:26+00:00,fashionmuniz,Sidecar,DE VOLTA! ✨ Calça de Couro Jandira está de volta com TUDO! 🚀 www.fashionmuniz.com.br,,15,0,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/348501005_3556037138014196_5164821524560232360_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=qxyA-Ug5NEMAX9Mb2dp&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDw8tkIGqMoXBeVY1hODmabhJkWBM8Ga3DK2xo2LPNOaA&oe=64849615&_nc_sid=8721cf
216,2023-05-20 14:02:46+00:00,josefinehj,Sidecar,annonce,,9945,48,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/348453354_1610268262787399_6576579113398060019_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=111&_nc_ohc=o2hYr72TdCwAX-HTj10&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCdC1lOLDU0w7-G0bIYAOsAaPpTTrfHpsmzn0dwTMyZ3g&oe=648384C5&_nc_sid=8721cf
217,2023-04-30 18:47:07+00:00,matildadjerf,Sidecar,🩷🪽,,170642,284,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/343688993_253183133784458_8656287258930281851_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=102&_nc_ohc=2jM77FrAk3QAX_c7tK0&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAjX2zlDjnMey32CoWTaHskq44oF5N0TzvftOh3GRdwJQ&oe=64843176&_nc_sid=8721cf
218,2023-05-17 10:04:08+00:00,josefinehj,Sidecar,elevator check,,5466,19,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/346922090_240300558689756_24357125966289010_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=uK2U1CErnGYAX_xeMpf&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAcnTyQOM-_f2DqkpBDK-UKPQzEITOGHJxiAdP6tiyxtA&oe=6483E956&_nc_sid=8721cf
219,2023-04-28 18:40:14+00:00,matildadjerf,Sidecar,Forgot about these 🦋,,177435,223,https://instagram.fsjo14-1.fna.fbcdn.net/v/t51.2885-15/343573900_623816206276526_655983639314112727_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsjo14-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=ZRn9-TtnoMMAX_frmdq&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD1KLHDge_U3aO0xBgfsxS3mCt3RkxcfPlWsEuVK_XKJg&oe=648426DA&_nc_sid=8721cf
220,2023-04-27 18:51:46+00:00,matildadjerf,Sidecar,A rainy day in April,,102316,139,https://instagram.fctg2-1.fna.fbcdn.net/v/t51.2885-15/343276027_2446442658845588_6692290533255103997_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fctg2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=rP4dcDSRy5cAX_XZqpd&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD0-x1GoTs-PyNZbvty1YrI85EFa9XGoyIHnZwALxfdFg&oe=6485670A&_nc_sid=8721cf
221,2023-05-30 10:44:40+00:00,chiaraferragni,Sidecar,Colorful bag for a total @prada look today 😍 Feeling playful with my #PradaGalleria bag in the prettiest shades of green 💚 #adv #prada,"PradaGalleria, adv, prada",540617,1027,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/350091429_807708460546249_5071850301853494151_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=c3Kcn23I74IAX98ohdy&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCZB0VuGLQbiL1wd7lJulq43UD_jaDEciEitZtm4dM9MQ&oe=6484F154&_nc_sid=8721cf
222,2023-04-26 18:23:36+00:00,matildadjerf,Sidecar,office lately 🎀,,121543,182,https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/343396780_1482428322289525_5357002768801903746_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=baUQHR0nrKIAX-M-9kK&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfB72w_Ogo2PtpfnRIhjzwUeDbt8NNlf_4l84T3f8w6lZQ&oe=6483C1C0&_nc_sid=8721cf
223,2023-05-29 11:39:32+00:00,chiaraferragni,Sidecar,Best of these past days 💖,,336161,1411,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/350133255_966661901018265_6601816866559409397_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=109&_nc_ohc=uOdlAZ_ScrMAX_L_u_-&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDKPg4Y63J1t_NrhbpNxN39TS86UMgBTSMkg9NgD_rG4g&oe=648488DC&_nc_sid=8721cf
224,2023-05-28 16:31:03+00:00,chiaraferragni,Sidecar,A good Sunday 🥹,,375086,1107,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/350243008_610987947655920_3901048210803768933_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=100&_nc_ohc=25KB57pVAyAAX_QpOOo&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBCpxk_fBQEkvPbAw03NzPsAqjyIlrM2p_uOJ7q-YH17w&oe=6483DA7A&_nc_sid=8721cf
225,2023-05-27 15:26:39+00:00,chiaraferragni,Sidecar,Saturday at the lake at our favorite @ghtlakecomo 🙏🏻,,326527,1161,https://instagram.fbhx7-1.fna.fbcdn.net/v/t51.2885-15/349096905_638769704392557_1159857143561224650_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fbhx7-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=JNEPFoqTWVQAX-UwjNn&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDXS5iq-lJOmiVvxfCmaAI8MPa3lByFrW3nxOGdfYngZw&oe=64856C67&_nc_sid=8721cf
226,2023-05-26 19:52:24+00:00,chiaraferragni,Sidecar,May 26th 💙,,249830,935,https://instagram.fvcp10-1.fna.fbcdn.net/v/t51.2885-15/349036689_634922388201352_833135321251998369_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fvcp10-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=0QzED8syA2cAX_th8e0&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCD46DeOq2X_Us-SK6dudxHcO4QqB6-mZD7gHirSZyJMA&oe=64853AF6&_nc_sid=8721cf
227,2023-05-26 09:29:35+00:00,chiaraferragni,Sidecar,Last night #SuppliedbyLouisVuitton ❤️,SuppliedbyLouisVuitton,269901,1133,https://scontent-gig4-1.cdninstagram.com/v/t51.2885-15/348856278_748589783713210_7119132727041166117_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-gig4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=CaoFONibUecAX-ggLR2&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCWePLQpmNrEK7ELOYSQx1gjN7c0xjmWF-B-_x5-O-QfA&oe=64849F17&_nc_sid=8721cf
228,2023-05-26 15:40:53+00:00,lojafashioncloset,Sidecar,nike gamma force 💙 TA NO AR!,,80,1,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/349048110_628183618954631_2024592276219143431_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=HWNSBz49yYAAX91hY75&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBt3cHzF-ykG2eijY7JwN3VVwRU0rkMuOEWdlSJAWnGyQ&oe=64853240&_nc_sid=8721cf
229,2023-05-22 00:59:47+00:00,lojafashioncloset,Sidecar,"🚨 hello, hello fashion girls… pq essa semana promete ser A SEMANA DAS NEWS MAIS HOT!!! fica ON >>>",,325,4,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/348215663_1286873942187374_2224141163968980647_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=mFScJvoY_BUAX_f9z2n&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAW2Ci71pH81VgeVbTizYdgO3beo9nx14nz5kmn7G8Ugw&oe=6483D3A5&_nc_sid=8721cf
230,2023-05-26 14:10:13+00:00,chiaraferragni,Sidecar,"Ieri in qualità di Co-Presidente e membro della giuria della @CameraModaFashionTrust ho partecipato alla terza edizione di Camera Moda Fashion Trust Grant per selezionare 4 brand indipendenti da supportare economicamente e tramite mentorship per diventare il futuro della moda in Italia 🇮🇹 Congratulazioni ai vincitori @setchu.official official, @marcello_pipitone, @niccolopasqualetti e @florania__ e complimenti a tutti i designer che hanno partecipato e presentato le loro idee e collezioni 👏 Sono davvero fiera di supportare il made in Italy e la nuova generazione di fashion designers 💘 🇬🇧 Yesterday I took part to Camera Moda Fashion Trust Grant as part of the committee and Co-President 🙏 We selected 4 winners to support both financially and with a mentorship program, congratulations to @setchu.official official, @marcello_pipitone, @niccolopasqualetti and @florania__ and to all the amazing designers who took part to this contest 💘 I’m so proud to support the made in Italy and the upcoming generation of fashion designers 🇮🇹",,442878,553,https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/348845658_186717380621582_2150162191534269778_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=yvABkDfZALcAX8QqAMR&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBY9kykiUcjHf0_-0qWswhwT_HBas6xi-LN1lcQSogldQ&oe=648518AA&_nc_sid=8721cf
231,2023-05-18 21:49:07+00:00,lojafashioncloset,Sidecar,photo dump de ontem! ⭐️ … um pouquinho do está chegando por aí w/ @anajuliaardito,,571,19,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/347419846_654855113120806_2271993081986469287_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=110&_nc_ohc=yONu3P8H38UAX_-vkJU&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAqX45EHDxZXDZQLKlK2Ma65gyJcjZFUSrXUtMxn112Vw&oe=6484040B&_nc_sid=8721cf
232,2023-04-16 19:44:05+00:00,eleonorabrunaccidivaio,Sidecar,Mamma daddy vi faccio una foto 📸Pic by leoncino adorato🌅💙#meandyou,meandyou,63975,241,https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/341762770_960038835180229_3282055543548327429_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=_yPzlAiSzmUAX-94FOa&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfC_rHxAzvpC0hw_GrTjuQ21hnABaaJaj71uN6T-mlti4Q&oe=648504B7&_nc_sid=8721cf
233,2023-04-14 17:49:40+00:00,eleonorabrunaccidivaio,Sidecar,Vorrei bloccare il tempo e potervi vivere il più possibile così 🥰 i miei pazzerelli adorati! Sunset cruise 🌅 #familymoments @pullman_maldives,familymoments,45335,189,https://instagram.fkgf7-1.fna.fbcdn.net/v/t51.2885-15/328362059_1240910566630188_6964619844626090433_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fkgf7-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=BRiGj0yd7OgAX-DRlOW&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCBFGzO1xDdpGfyAkmp0MAWxieyqE0ger11EveR8BnRdA&oe=648409F6&_nc_sid=8721cf
234,2023-04-13 06:54:04+00:00,eleonorabrunaccidivaio,Sidecar,Colazione in piscina 🌺🥰🌺 #goodmorning #maldives   Amazing @pullman_maldives ♥️,"goodmorning, maldives",88711,339,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/340706574_215973387740188_3154972515527751389_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=104&_nc_ohc=NxO0S3j383YAX_00Qz-&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAzk69yvDlrnQYqwi823x79iE6wmEXtH619oxI42rvuOw&oe=64842B48&_nc_sid=8721cf
235,2023-04-15 18:15:43+00:00,eleonorabrunaccidivaio,Sidecar,"Continuando a scrivere pagine della nostra vita♥️voi ,la mia ricarica naturale♥️ #myfamily #mylife #mykids","myfamily, mylife, mykids",43816,165,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/341343160_2024499921215529_7095325990394223912_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=R7sxj-orssAAX_0rR8m&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfCuhCGK5CuBS0gwLUiqxuTLHkT_yyMtcJzXK7b-TC6K6A&oe=648434F9&_nc_sid=8721cf
236,2023-04-11 17:56:14+00:00,eleonorabrunaccidivaio,Sidecar,Moments like this ♥️🇲🇻 #familytime #preciuosmoments   Here @pullman_maldives ♥️,"familytime, preciuosmoments",96690,328,https://scontent-dub4-1.cdninstagram.com/v/t51.2885-15/340651645_191928143618498_3279747607111289260_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-dub4-1.cdninstagram.com&_nc_cat=102&_nc_ohc=ZEucLH8Y0JcAX_e9HtV&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBxzeYiszTsstQujLfBtK_16Xi4pLGYDWuShrJMm8_19A&oe=6483C7D7&_nc_sid=8721cf
237,2022-06-06 14:32:31+00:00,davidgandy_official,Sidecar,"So very honoured to have taken part in the #platinumjubilee pageant yesterday. Wonderful if slightly surreal experience that brought so much togetherness, unity, laughter and smiles.  Well done @jaguar and @landrover for making this happen,  as many will not appreciate the hard work and organisation this took.",platinumjubilee,12272,115,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/286323397_5549497361741251_4682728414817702555_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=GEhYxwP_qd8AX9saA50&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDq2xMsGTuYNVDmxXhSVPxiWEcvSLO5zExKDDfZGKNSqA&oe=6484271E&_nc_sid=8721cf
